"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","num-replicates","best-fitness-so-far"
"7","5","""schwarz""","false","0","5","false","0.021442249235088983","""showerhead""","0.6262056249133706","0.5816033973853643","0.8341924827067341","5","1060.22"
"7","10","""schwarz""","true","0","5","false","0.021442249235088983","""showerhead""","0.6262056249133706","0.5816033973853643","0.8341924827067341","5","17.740000000000002"
"7","20","""schwarz""","true","0","5","false","0.022765371443022136","""showerhead""","0.6262056249133706","0.5816033973853643","0.8341924827067341","5","16.811999999999998"
"7","65","""schwarz""","true","0","5","false","0.022765371443022136","""showerhead""","0.6262056249133706","0.6328247061465044","0.8341924827067341","5","16.564"
"7","80","""schwarz""","true","0","5","false","0.022765371443022136","""showerhead""","0.6262056249133706","0.6328247061465044","0.9622233203685533","5","14.511999999999999"
"7","85","""schwarz""","true","0","5","false","0.022765371443022136","""showerhead""","0.689312372704588","0.6328247061465044","0.9622233203685533","5","13.364"
"7","145","""schwarz""","true","0","5","false","0.025377027634475118","""showerhead""","0.689312372704588","0.6328247061465044","0.9622233203685533","5","12.511999999999999"
"8","5","""schwarz""","true","0","5","false","0.02061939253125996","""showerhead""","0.7533926278069825","0.4431449269693597","0.11147420391912832","5","31.240000000000002"
"8","10","""schwarz""","true","0","5","false","0.020412464680112007","""showerhead""","0.7533926278069825","0.4431449269693597","0.11147420391912832","5","27.712"
"8","15","""schwarz""","true","0","5","false","0.014349663203594012","""showerhead""","0.7533926278069825","0.4431449269693597","0.11147420391912832","5","21.812"
"8","20","""schwarz""","true","0","5","false","0.02001452358412503","""showerhead""","0.7533926278069825","0.5719981443032494","0.11147420391912832","5","21.612000000000002"
"8","45","""schwarz""","true","0","5","false","0.02001452358412503","""showerhead""","0.7215714228424641","0.5719981443032494","0.11147420391912832","5","21.112000000000002"
"8","135","""schwarz""","true","0","5","false","0.02001452358412503","""showerhead""","0.8962094195031662","0.5719981443032494","0.23521235945426944","5","20.864000000000004"
"8","155","""schwarz""","true","0","5","false","0.019160536134013605","""showerhead""","0.8962094195031662","0.5719981443032494","0.4222303769235314","5","19.764000000000003"
"8","200","""schwarz""","true","0","5","false","0.019160536134013605","""showerhead""","0.715644932899812","0.5719981443032494","0.4222303769235314","5","18.412"
"8","205","""schwarz""","true","0","5","false","0.019160536134013605","""showerhead""","0.715644932899812","0.6727848268474867","0.4222303769235314","5","17.764000000000003"
"8","215","""schwarz""","true","0","5","false","0.019160536134013605","""showerhead""","0.715644932899812","0.7130034241549779","0.4117884072460459","5","17.464"
"8","225","""schwarz""","true","0","5","false","0.019160536134013605","""showerhead""","0.6317765626936946","0.7130034241549779","0.4117884072460459","5","16.164"
"8","230","""schwarz""","true","0","5","false","0.019160536134013605","""showerhead""","0.6317765626936946","0.7130034241549779","0.517511845162309","5","14.864"
"8","295","""schwarz""","true","0","5","false","0.019160536134013605","""showerhead""","0.6317765626936946","0.7130034241549779","0.6446532952740469","5","13.164"
"9","5","""schwarz""","true","0","5","false","0.020098591808376115","""showerhead""","0.9954814221682207","0.514791506869424","0.4519433019522753","5","22.264000000000003"
"9","15","""schwarz""","true","0","5","false","0.020098591808376115","""showerhead""","0.9954814221682207","0.514791506869424","0.4696785218342136","5","21.664"
"9","25","""schwarz""","true","0","5","false","0.020098591808376115","""showerhead""","0.9954814221682207","0.514791506869424","0.6786369462943338","5","21.264000000000003"
"9","30","""schwarz""","true","0","5","false","0.020098591808376115","""showerhead""","0.9954814221682207","0.514791506869424","0.7766950294755379","5","20.064"
"9","45","""schwarz""","true","0","5","false","0.020098591808376115","""showerhead""","0.9954814221682207","0.5166839016954806","0.7918970613288664","5","19.664"
"9","55","""schwarz""","true","0","5","false","0.020098591808376115","""showerhead""","0.9954814221682207","0.5166839016954806","0.8236487480418174","5","19.364000000000004"
