"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","70","70","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.5745173978392283","0.766519740688702","0.7754597728174841","""870401193""","1029.135","1029.135","1029.135","0","1029.135"
"1","71","75","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.5745173978392283","0.766519740688702","0.7754597728174841","""168383746""","1028.258","1028.258","1028.258","0","1028.258"
"1","72","75","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.5745173978392283","0.766519740688702","0.7754597728174841","""-1785953530""","1028.229","1028.229","1028.229","0","1028.229"
"1","73","75","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.5745173978392283","0.766519740688702","0.7754597728174841","""1114644725""","1029.1","1029.1","1029.1","0","1029.1"
"1","74","75","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.5745173978392283","0.766519740688702","0.7754597728174841","""461705781""","1028.335","1028.335","1028.335","0","1028.335"
"1","75","75","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.5745173978392283","0.766519740688702","0.7754597728174841","""-1482033492""","1028.741","1028.741","1028.741","0","1028.741"
"1","76","80","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7905007173176437","0.766519740688702","0.7754597728174841","""1673380560""","1029.171","1029.171","1029.171","0","1029.171"
"1","77","80","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7905007173176437","0.766519740688702","0.7754597728174841","""-2011923305""","1028.73","1028.73","1028.73","0","1028.73"
"1","78","80","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7905007173176437","0.766519740688702","0.7754597728174841","""-1219346300""","1029.062","1029.062","1029.062","0","1029.062"
"1","79","80","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7905007173176437","0.766519740688702","0.7754597728174841","""902488058""","1028.036","1028.036","1028.036","0","1028.036"
"1","80","80","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7905007173176437","0.766519740688702","0.7754597728174841","""932196909""","1027.493","1027.493","1027.493","0","1027.493"
